Jurisdiction,Value,Race/ ethnicity,Year,Measure
Baltimore City,19.9,All races/ ethnicities (aggregated),2015,Child Maltreatment
Baltimore County,5.4,All races/ ethnicities (aggregated),2015,Child Maltreatment
Calvert,4.2,All races/ ethnicities (aggregated),2015,Child Maltreatment
Caroline,13.2,All races/ ethnicities (aggregated),2015,Child Maltreatment
Carroll,3.6,All races/ ethnicities (aggregated),2015,Child Maltreatment
Cecil,10.6,All races/ ethnicities (aggregated),2015,Child Maltreatment
Charles,4.1,All races/ ethnicities (aggregated),2015,Child Maltreatment
Dorchester,16.0,All races/ ethnicities (aggregated),2015,Child Maltreatment
Frederick,6.1,All races/ ethnicities (aggregated),2015,Child Maltreatment
Garrett,10.0,All races/ ethnicities (aggregated),2015,Child Maltreatment
Harford,11.7,All races/ ethnicities (aggregated),2015,Child Maltreatment
Howard,3.4,All races/ ethnicities (aggregated),2015,Child Maltreatment
Kent,9.7,All races/ ethnicities (aggregated),2015,Child Maltreatment
Montgomery,3.8,All races/ ethnicities (aggregated),2015,Child Maltreatment
Prince George's,5.2,All races/ ethnicities (aggregated),2015,Child Maltreatment
Queen Anne's,2.9,All races/ ethnicities (aggregated),2015,Child Maltreatment
Saint Mary's,3.9,All races/ ethnicities (aggregated),2015,Child Maltreatment
Somerset,23.2,All races/ ethnicities (aggregated),2015,Child Maltreatment
Talbot,6.2,All races/ ethnicities (aggregated),2015,Child Maltreatment
Washington,11.1,All races/ ethnicities (aggregated),2015,Child Maltreatment
Wicomico,5.6,All races/ ethnicities (aggregated),2015,Child Maltreatment
Worcester,14.1,All races/ ethnicities (aggregated),2015,Child Maltreatment
State,9.9,All races/ ethnicities (aggregated),2014,Child Maltreatment
Allegany,23.3,All races/ ethnicities (aggregated),2014,Child Maltreatment
Anne Arundel,7.8,All races/ ethnicities (aggregated),2014,Child Maltreatment
Baltimore City,25.8,All races/ ethnicities (aggregated),2014,Child Maltreatment
Baltimore County,8.1,All races/ ethnicities (aggregated),2014,Child Maltreatment
Calvert,8.4,All races/ ethnicities (aggregated),2014,Child Maltreatment
Caroline,15.9,All races/ ethnicities (aggregated),2014,Child Maltreatment
Carroll,3.7,All races/ ethnicities (aggregated),2014,Child Maltreatment
Cecil,16.8,All races/ ethnicities (aggregated),2014,Child Maltreatment
Charles,7.5,All races/ ethnicities (aggregated),2014,Child Maltreatment
Dorchester,25.4,All races/ ethnicities (aggregated),2014,Child Maltreatment
Frederick,7.3,All races/ ethnicities (aggregated),2014,Child Maltreatment
Garrett,9.2,All races/ ethnicities (aggregated),2014,Child Maltreatment
Harford,14.1,All races/ ethnicities (aggregated),2014,Child Maltreatment
Howard,2.7,All races/ ethnicities (aggregated),2014,Child Maltreatment
Kent,15.8,All races/ ethnicities (aggregated),2014,Child Maltreatment
Montgomery,5.1,All races/ ethnicities (aggregated),2014,Child Maltreatment
Prince George's,8.0,All races/ ethnicities (aggregated),2014,Child Maltreatment
Queen Anne's,4.9,All races/ ethnicities (aggregated),2014,Child Maltreatment
Saint Mary's,7.9,All races/ ethnicities (aggregated),2014,Child Maltreatment
Somerset,30.5,All races/ ethnicities (aggregated),2014,Child Maltreatment
Talbot,13.1,All races/ ethnicities (aggregated),2014,Child Maltreatment
Washington,13.6,All races/ ethnicities (aggregated),2014,Child Maltreatment
Wicomico,13.4,All races/ ethnicities (aggregated),2014,Child Maltreatment
Worcester,29.0,All races/ ethnicities (aggregated),2014,Child Maltreatment
State,9.2,All races/ ethnicities (aggregated),2013,Child Maltreatment
Allegany,27.5,All races/ ethnicities (aggregated),2013,Child Maltreatment
Anne Arundel,6.0,All races/ ethnicities (aggregated),2013,Child Maltreatment
Baltimore City,20.5,All races/ ethnicities (aggregated),2013,Child Maltreatment
Baltimore County,8.5,All races/ ethnicities (aggregated),2013,Child Maltreatment
Calvert,10.7,All races/ ethnicities (aggregated),2013,Child Maltreatment
Caroline,15.7,All races/ ethnicities (aggregated),2013,Child Maltreatment
Carroll,3.4,All races/ ethnicities (aggregated),2013,Child Maltreatment
Cecil,16.5,All races/ ethnicities (aggregated),2013,Child Maltreatment
Charles,7.5,All races/ ethnicities (aggregated),2013,Child Maltreatment
Dorchester,28.4,All races/ ethnicities (aggregated),2013,Child Maltreatment
Frederick,8.8,All races/ ethnicities (aggregated),2013,Child Maltreatment
Garrett,7.1,All races/ ethnicities (aggregated),2013,Child Maltreatment
Harford,10.2,All races/ ethnicities (aggregated),2013,Child Maltreatment
Howard,2.3,All races/ ethnicities (aggregated),2013,Child Maltreatment
Kent,12.5,All races/ ethnicities (aggregated),2013,Child Maltreatment
Montgomery,4.8,All races/ ethnicities (aggregated),2013,Child Maltreatment
Prince George's,7.4,All races/ ethnicities (aggregated),2013,Child Maltreatment
Queen Anne's,5.3,All races/ ethnicities (aggregated),2013,Child Maltreatment
Saint Mary's,6.2,All races/ ethnicities (aggregated),2013,Child Maltreatment
Somerset,24.2,All races/ ethnicities (aggregated),2013,Child Maltreatment
Talbot,14.4,All races/ ethnicities (aggregated),2013,Child Maltreatment
Washington,20.4,All races/ ethnicities (aggregated),2013,Child Maltreatment
Wicomico,12.1,All races/ ethnicities (aggregated),2013,Child Maltreatment
Worcester,28.6,All races/ ethnicities (aggregated),2013,Child Maltreatment
State,10.2,All races/ ethnicities (aggregated),2012,Child Maltreatment
Allegany,23.2,All races/ ethnicities (aggregated),2012,Child Maltreatment
Anne Arundel,6.2,All races/ ethnicities (aggregated),2012,Child Maltreatment
Baltimore City,20.4,All races/ ethnicities (aggregated),2012,Child Maltreatment
Baltimore County,9.6,All races/ ethnicities (aggregated),2012,Child Maltreatment
Calvert,8.8,All races/ ethnicities (aggregated),2012,Child Maltreatment
Caroline,9.6,All races/ ethnicities (aggregated),2012,Child Maltreatment
Carroll,3.5,All races/ ethnicities (aggregated),2012,Child Maltreatment
Cecil,20.1,All races/ ethnicities (aggregated),2012,Child Maltreatment
Charles,8.5,All races/ ethnicities (aggregated),2012,Child Maltreatment
Dorchester,37.3,All races/ ethnicities (aggregated),2012,Child Maltreatment
Frederick,10.4,All races/ ethnicities (aggregated),2012,Child Maltreatment
Garrett,4.9,All races/ ethnicities (aggregated),2012,Child Maltreatment
Harford,10.2,All races/ ethnicities (aggregated),2012,Child Maltreatment
Howard,2.9,All races/ ethnicities (aggregated),2012,Child Maltreatment
Kent,7.8,All races/ ethnicities (aggregated),2012,Child Maltreatment
Montgomery,5.5,All races/ ethnicities (aggregated),2012,Child Maltreatment
Prince George's,8.6,All races/ ethnicities (aggregated),2012,Child Maltreatment
Queen Anne's,6.5,All races/ ethnicities (aggregated),2012,Child Maltreatment
Saint Mary's,9.4,All races/ ethnicities (aggregated),2012,Child Maltreatment
Somerset,29.0,All races/ ethnicities (aggregated),2012,Child Maltreatment
Talbot,8.3,All races/ ethnicities (aggregated),2012,Child Maltreatment
Washington,29.3,All races/ ethnicities (aggregated),2012,Child Maltreatment
Wicomico,12.4,All races/ ethnicities (aggregated),2012,Child Maltreatment
Worcester,37.8,All races/ ethnicities (aggregated),2012,Child Maltreatment
State,9.3,All races/ ethnicities (aggregated),2011,Child Maltreatment
Allegany,25.8,All races/ ethnicities (aggregated),2011,Child Maltreatment
Anne Arundel,5.9,All races/ ethnicities (aggregated),2011,Child Maltreatment
Baltimore City,19.7,All races/ ethnicities (aggregated),2011,Child Maltreatment
Baltimore County,8.5,All races/ ethnicities (aggregated),2011,Child Maltreatment
Calvert,9.2,All races/ ethnicities (aggregated),2011,Child Maltreatment
Caroline,9.2,All races/ ethnicities (aggregated),2011,Child Maltreatment
Carroll,3.1,All races/ ethnicities (aggregated),2011,Child Maltreatment
Cecil,18.4,All races/ ethnicities (aggregated),2011,Child Maltreatment
Charles,6.7,All races/ ethnicities (aggregated),2011,Child Maltreatment
Dorchester,23.1,All races/ ethnicities (aggregated),2011,Child Maltreatment
Frederick,9.2,All races/ ethnicities (aggregated),2011,Child Maltreatment
Garrett,10.2,All races/ ethnicities (aggregated),2011,Child Maltreatment
Harford,8.8,All races/ ethnicities (aggregated),2011,Child Maltreatment
Howard,2.2,All races/ ethnicities (aggregated),2011,Child Maltreatment
Kent,11.9,All races/ ethnicities (aggregated),2011,Child Maltreatment
Montgomery,5.1,All races/ ethnicities (aggregated),2011,Child Maltreatment
Prince George's,8.1,All races/ ethnicities (aggregated),2011,Child Maltreatment
Queen Anne's,6.2,All races/ ethnicities (aggregated),2011,Child Maltreatment
Saint Mary's,7.4,All races/ ethnicities (aggregated),2011,Child Maltreatment
Somerset,37.6,All races/ ethnicities (aggregated),2011,Child Maltreatment
Talbot,10.4,All races/ ethnicities (aggregated),2011,Child Maltreatment
Washington,24.5,All races/ ethnicities (aggregated),2011,Child Maltreatment
Wicomico,7.6,All races/ ethnicities (aggregated),2011,Child Maltreatment
Worcester,34.5,All races/ ethnicities (aggregated),2011,Child Maltreatment
State,5.0,All races/ ethnicities (aggregated),2010,Child Maltreatment
Allegany,34.2,All races/ ethnicities (aggregated),2010,Child Maltreatment
Anne Arundel,2.4,All races/ ethnicities (aggregated),2010,Child Maltreatment
Baltimore City,13.8,All races/ ethnicities (aggregated),2010,Child Maltreatment
Baltimore County,3.5,All races/ ethnicities (aggregated),2010,Child Maltreatment
Calvert,3.4,All races/ ethnicities (aggregated),2010,Child Maltreatment
Caroline,3.4,All races/ ethnicities (aggregated),2010,Child Maltreatment
Carroll,3.2,All races/ ethnicities (aggregated),2010,Child Maltreatment
Cecil,10.5,All races/ ethnicities (aggregated),2010,Child Maltreatment
Charles,2.6,All races/ ethnicities (aggregated),2010,Child Maltreatment
Dorchester,8.1,All races/ ethnicities (aggregated),2010,Child Maltreatment
Frederick,2.9,All races/ ethnicities (aggregated),2010,Child Maltreatment
Garrett,4.2,All races/ ethnicities (aggregated),2010,Child Maltreatment
Harford,3.5,All races/ ethnicities (aggregated),2010,Child Maltreatment
Howard,1.8,All races/ ethnicities (aggregated),2010,Child Maltreatment
Kent,,All races/ ethnicities (aggregated),2010,Child Maltreatment
Montgomery,3.2,All races/ ethnicities (aggregated),2010,Child Maltreatment
Prince George's,3.6,All races/ ethnicities (aggregated),2010,Child Maltreatment
Queen Anne's,2.9,All races/ ethnicities (aggregated),2010,Child Maltreatment
Saint Mary's,4.2,All races/ ethnicities (aggregated),2010,Child Maltreatment
Somerset,14.1,All races/ ethnicities (aggregated),2010,Child Maltreatment
Talbot,6.0,All races/ ethnicities (aggregated),2010,Child Maltreatment
Washington,11.4,All races/ ethnicities (aggregated),2010,Child Maltreatment
Wicomico,3.7,All races/ ethnicities (aggregated),2010,Child Maltreatment
Worcester,9.6,All races/ ethnicities (aggregated),2010,Child Maltreatment
State,4.9,All races/ ethnicities (aggregated),2018,Child Maltreatment
Allegany,11.4,All races/ ethnicities (aggregated),2018,Child Maltreatment
Anne Arundel,3.3,All races/ ethnicities (aggregated),2018,Child Maltreatment
Baltimore City,10.8,All races/ ethnicities (aggregated),2018,Child Maltreatment
Baltimore County,4.8,All races/ ethnicities (aggregated),2018,Child Maltreatment
Calvert,3.8,All races/ ethnicities (aggregated),2018,Child Maltreatment
Caroline,5.1,All races/ ethnicities (aggregated),2018,Child Maltreatment
Carroll,3.8,All races/ ethnicities (aggregated),2018,Child Maltreatment
Cecil,10.7,All races/ ethnicities (aggregated),2018,Child Maltreatment
Charles,3.1,All races/ ethnicities (aggregated),2018,Child Maltreatment
Dorchester,11.3,All races/ ethnicities (aggregated),2018,Child Maltreatment
Frederick,2.6,All races/ ethnicities (aggregated),2018,Child Maltreatment
Garrett,19.2,All races/ ethnicities (aggregated),2018,Child Maltreatment
Harford,6.5,All races/ ethnicities (aggregated),2018,Child Maltreatment
Howard,1.7,All races/ ethnicities (aggregated),2018,Child Maltreatment
Kent,7.2,All races/ ethnicities (aggregated),2018,Child Maltreatment
Montgomery,2.8,All races/ ethnicities (aggregated),2018,Child Maltreatment
Somerset,4.8,All races/ ethnicities (aggregated),2018,Child Maltreatment
Talbot,5.2,All races/ ethnicities (aggregated),2018,Child Maltreatment
Washington,7.9,All races/ ethnicities (aggregated),2018,Child Maltreatment
Wicomico,5.2,All races/ ethnicities (aggregated),2018,Child Maltreatment
Worcester,12.1,All races/ ethnicities (aggregated),2018,Child Maltreatment
Prince George's,4.6,All races/ ethnicities (aggregated),2018,Child Maltreatment
Queen Anne's,1.6,All races/ ethnicities (aggregated),2018,Child Maltreatment
Saint Mary's,4.5,All races/ ethnicities (aggregated),2018,Child Maltreatment
State,0.7,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Allegany,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Anne Arundel,1.4,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Baltimore City,0.8,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Baltimore County,1.0,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Calvert,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Caroline,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Carroll,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Cecil,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Charles,0.7,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Dorchester,10.5,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Frederick,0.8,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Garrett,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Harford,0.9,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Howard,0.3,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Kent,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Montgomery,0.5,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Somerset,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Talbot,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Washington,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Wicomico,6.7,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Worcester,5.3,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Prince George's,0.9,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Queen Anne's,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
Saint Mary's,,Asian/Pacific Islander Non-Hispanic/Latino,2018,Child Maltreatment
State,5.9,Black or African American,2018,Child Maltreatment
Allegany,10.4,Black or African American,2018,Child Maltreatment
Anne Arundel,4.7,Black or African American,2018,Child Maltreatment
Baltimore City,11.3,Black or African American,2018,Child Maltreatment
Baltimore County,5.1,Black or African American,2018,Child Maltreatment
Calvert,5.0,Black or African American,2018,Child Maltreatment
Caroline,7.2,Black or African American,2018,Child Maltreatment
Carroll,12.7,Black or African American,2018,Child Maltreatment
Cecil,6.0,Black or African American,2018,Child Maltreatment
Charles,3.2,Black or African American,2018,Child Maltreatment
Dorchester,14.6,Black or African American,2018,Child Maltreatment
Frederick,4.3,Black or African American,2018,Child Maltreatment
Garrett,12.5,Black or African American,2018,Child Maltreatment
Harford,9.5,Black or African American,2018,Child Maltreatment
Howard,3.2,Black or African American,2018,Child Maltreatment
Kent,9.2,Black or African American,2018,Child Maltreatment
Montgomery,3.7,Black or African American,2018,Child Maltreatment
Somerset,6.4,Black or African American,2018,Child Maltreatment
Talbot,6.9,Black or African American,2018,Child Maltreatment
Washington,7.6,Black or African American,2018,Child Maltreatment
Wicomico,5.5,Black or African American,2018,Child Maltreatment
Worcester,10.7,Black or African American,2018,Child Maltreatment
Prince George's,4.2,Black or African American,2018,Child Maltreatment
Queen Anne's,2.6,Black or African American,2018,Child Maltreatment
Saint Mary's,4.6,Black or African American,2018,Child Maltreatment
State,6.2,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Allegany,10.7,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Anne Arundel,4.8,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Baltimore City,11.5,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Baltimore County,5.3,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Calvert,5.2,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Caroline,7.7,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Carroll,13.1,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Cecil,6.8,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Charles,3.2,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Dorchester,15.6,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Frederick,4.9,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Garrett,12.6,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Harford,10.0,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Howard,3.4,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Kent,9.5,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Montgomery,4.1,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Somerset,6.7,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Talbot,7.5,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Washington,7.9,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Wicomico,5.7,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Worcester,10.6,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Prince George's,4.5,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Queen Anne's,2.8,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Saint Mary's,4.7,Black or African American Non-Hispanic/Latino,2018,Child Maltreatment
Prince George's,3.3,Hispanic,2018,Child Maltreatment
Queen Anne's,3.7,Hispanic,2018,Child Maltreatment
Saint Mary's,1.6,Hispanic,2018,Child Maltreatment
State,3.0,Hispanic,2018,Child Maltreatment
Allegany,,Hispanic,2018,Child Maltreatment
Anne Arundel,2.8,Hispanic,2018,Child Maltreatment
Baltimore City,3.6,Hispanic,2018,Child Maltreatment
Baltimore County,2.4,Hispanic,2018,Child Maltreatment
Calvert,1.7,Hispanic,2018,Child Maltreatment
Caroline,4.6,Hispanic,2018,Child Maltreatment
Carroll,3.7,Hispanic,2018,Child Maltreatment
Cecil,4.6,Hispanic,2018,Child Maltreatment
Charles,2.5,Hispanic,2018,Child Maltreatment
Dorchester,,Hispanic,2018,Child Maltreatment
Frederick,2.9,Hispanic,2018,Child Maltreatment
Garrett,,Hispanic,2018,Child Maltreatment
Harford,3.6,Hispanic,2018,Child Maltreatment
Howard,2.0,Hispanic,2018,Child Maltreatment
Kent,,Hispanic,2018,Child Maltreatment
Montgomery,2.9,Hispanic,2018,Child Maltreatment
Somerset,2.5,Hispanic,2018,Child Maltreatment
Talbot,3.8,Hispanic,2018,Child Maltreatment
Washington,5.4,Hispanic,2018,Child Maltreatment
Wicomico,0.9,Hispanic,2018,Child Maltreatment
Worcester,15.5,Hispanic,2018,Child Maltreatment
State,3.0,White,2018,Child Maltreatment
Allegany,10.9,White,2018,Child Maltreatment
Anne Arundel,2.0,White,2018,Child Maltreatment
Baltimore City,6.0,White,2018,Child Maltreatment
Baltimore County,3.7,White,2018,Child Maltreatment
Calvert,3.2,White,2018,Child Maltreatment
Caroline,4.2,White,2018,Child Maltreatment
Carroll,3.0,White,2018,Child Maltreatment
Cecil,7.6,White,2018,Child Maltreatment
Charles,2.2,White,2018,Child Maltreatment
Dorchester,4.9,White,2018,Child Maltreatment
Frederick,1.6,White,2018,Child Maltreatment
Garrett,17.1,White,2018,Child Maltreatment
Harford,4.7,White,2018,Child Maltreatment
Howard,1.0,White,2018,Child Maltreatment
Kent,4.3,White,2018,Child Maltreatment
Montgomery,1.2,White,2018,Child Maltreatment
Somerset,2.9,White,2018,Child Maltreatment
Talbot,3.4,White,2018,Child Maltreatment
Washington,5.4,White,2018,Child Maltreatment
Wicomico,3.4,White,2018,Child Maltreatment
Worcester,10.7,White,2018,Child Maltreatment
Prince George's,1.7,White,2018,Child Maltreatment
Queen Anne's,1.0,White,2018,Child Maltreatment
Saint Mary's,3.1,White,2018,Child Maltreatment
Montgomery,1.1,White Non-Hispanic/Latino,2018,Child Maltreatment
Somerset,3.3,White Non-Hispanic/Latino,2018,Child Maltreatment
Talbot,3.8,White Non-Hispanic/Latino,2018,Child Maltreatment
Washington,5.6,White Non-Hispanic/Latino,2018,Child Maltreatment
Wicomico,3.9,White Non-Hispanic/Latino,2018,Child Maltreatment
Worcester,10.6,White Non-Hispanic/Latino,2018,Child Maltreatment
State,3.4,White Non-Hispanic/Latino,2018,Child Maltreatment
Allegany,11.1,White Non-Hispanic/Latino,2018,Child Maltreatment
Anne Arundel,2.2,White Non-Hispanic/Latino,2018,Child Maltreatment
Baltimore City,7.4,White Non-Hispanic/Latino,2018,Child Maltreatment
Baltimore County,4.1,White Non-Hispanic/Latino,2018,Child Maltreatment
Calvert,3.3,White Non-Hispanic/Latino,2018,Child Maltreatment
Caroline,4.4,White Non-Hispanic/Latino,2018,Child Maltreatment
Carroll,3.0,White Non-Hispanic/Latino,2018,Child Maltreatment
Cecil,8.0,White Non-Hispanic/Latino,2018,Child Maltreatment
Charles,2.2,White Non-Hispanic/Latino,2018,Child Maltreatment
Dorchester,5.7,White Non-Hispanic/Latino,2018,Child Maltreatment
Frederick,1.4,White Non-Hispanic/Latino,2018,Child Maltreatment
Garrett,17.4,White Non-Hispanic/Latino,2018,Child Maltreatment
Harford,4.8,White Non-Hispanic/Latino,2018,Child Maltreatment
Howard,0.9,White Non-Hispanic/Latino,2018,Child Maltreatment
Kent,4.6,White Non-Hispanic/Latino,2018,Child Maltreatment
Prince George's,2.2,White Non-Hispanic/Latino,2018,Child Maltreatment
Queen Anne's,1.1,White Non-Hispanic/Latino,2018,Child Maltreatment
Saint Mary's,3.4,White Non-Hispanic/Latino,2018,Child Maltreatment
Prince George's,5.6,All races/ ethnicities (aggregated),2019,Child Maltreatment
Queen Anne's,2.1,All races/ ethnicities (aggregated),2019,Child Maltreatment
Saint Mary's,4.5,All races/ ethnicities (aggregated),2019,Child Maltreatment
State,5.8,All races/ ethnicities (aggregated),2019,Child Maltreatment
Allegany,11.1,All races/ ethnicities (aggregated),2019,Child Maltreatment
Anne Arundel,4.6,All races/ ethnicities (aggregated),2019,Child Maltreatment
Baltimore City,10.8,All races/ ethnicities (aggregated),2019,Child Maltreatment
Baltimore County,5.1,All races/ ethnicities (aggregated),2019,Child Maltreatment
Calvert,4.9,All races/ ethnicities (aggregated),2019,Child Maltreatment
Caroline,6.3,All races/ ethnicities (aggregated),2019,Child Maltreatment
Carroll,3.4,All races/ ethnicities (aggregated),2019,Child Maltreatment
Cecil,14.2,All races/ ethnicities (aggregated),2019,Child Maltreatment
Charles,4.1,All races/ ethnicities (aggregated),2019,Child Maltreatment
Dorchester,14.5,All races/ ethnicities (aggregated),2019,Child Maltreatment
Frederick,3.4,All races/ ethnicities (aggregated),2019,Child Maltreatment
Garrett,25.0,All races/ ethnicities (aggregated),2019,Child Maltreatment
Harford,9.9,All races/ ethnicities (aggregated),2019,Child Maltreatment
Howard,2.3,All races/ ethnicities (aggregated),2019,Child Maltreatment
Kent,9.3,All races/ ethnicities (aggregated),2019,Child Maltreatment
Montgomery,4.0,All races/ ethnicities (aggregated),2019,Child Maltreatment
Somerset,7.2,All races/ ethnicities (aggregated),2019,Child Maltreatment
Talbot,5.0,All races/ ethnicities (aggregated),2019,Child Maltreatment
Washington,7.9,All races/ ethnicities (aggregated),2019,Child Maltreatment
