Jurisdiction,Value,Race/ ethnicity,Year,Measure
Saint Mary's,,Hispanic,2015-2017,Drug-induced death rate
Somerset,,Hispanic,2015-2017,Drug-induced death rate
Talbot,,Hispanic,2015-2017,Drug-induced death rate
Washington,,Hispanic,2015-2017,Drug-induced death rate
Wicomico,,Hispanic,2015-2017,Drug-induced death rate
Worcester,,Hispanic,2015-2017,Drug-induced death rate
State,41.7,White Non-Hispanic,2015-2017,Drug-induced death rate
Allegany,59.9,White Non-Hispanic,2015-2017,Drug-induced death rate
Anne Arundel,44.4,White Non-Hispanic,2015-2017,Drug-induced death rate
Baltimore City,79.8,White Non-Hispanic,2015-2017,Drug-induced death rate
Baltimore County,61.0,White Non-Hispanic,2015-2017,Drug-induced death rate
Calvert,42.1,White Non-Hispanic,2015-2017,Drug-induced death rate
Caroline,,White Non-Hispanic,2015-2017,Drug-induced death rate
Carroll,38.3,White Non-Hispanic,2015-2017,Drug-induced death rate
Cecil,54.8,White Non-Hispanic,2015-2017,Drug-induced death rate
Charles,50.4,White Non-Hispanic,2015-2017,Drug-induced death rate
Dorchester,,White Non-Hispanic,2015-2017,Drug-induced death rate
Frederick,38.1,White Non-Hispanic,2015-2017,Drug-induced death rate
Garrett,,White Non-Hispanic,2015-2017,Drug-induced death rate
Harford,40.4,White Non-Hispanic,2015-2017,Drug-induced death rate
Howard,25.7,White Non-Hispanic,2015-2017,Drug-induced death rate
Kent,,White Non-Hispanic,2015-2017,Drug-induced death rate
Montgomery,18.3,White Non-Hispanic,2015-2017,Drug-induced death rate
Prince George's,33.7,White Non-Hispanic,2015-2017,Drug-induced death rate
Queen Anne's,,White Non-Hispanic,2015-2017,Drug-induced death rate
Saint Mary's,29.3,White Non-Hispanic,2015-2017,Drug-induced death rate
Somerset,,White Non-Hispanic,2015-2017,Drug-induced death rate
Talbot,,White Non-Hispanic,2015-2017,Drug-induced death rate
Washington,44.4,White Non-Hispanic,2015-2017,Drug-induced death rate
Wicomico,37.6,White Non-Hispanic,2015-2017,Drug-induced death rate
Worcester,,White Non-Hispanic,2015-2017,Drug-induced death rate
State,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Allegany,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Anne Arundel,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Baltimore City,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Baltimore County,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Calvert,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Caroline,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Carroll,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Cecil,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Charles,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Dorchester,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Frederick,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Garrett,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Harford,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Howard,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Kent,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Montgomery,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Prince George's,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Queen Anne's,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Saint Mary's,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Somerset,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Talbot,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Washington,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Wicomico,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
Worcester,,Asian/ Pacific Islander Non-Hispanic,2015-2017,Drug-induced death rate
State,24.1,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Allegany,37.6,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Anne Arundel,27.3,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Baltimore City,57.4,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Baltimore County,33.7,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Calvert,30.1,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Caroline,,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Carroll,30.2,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Cecil,39.8,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Charles,21.4,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Dorchester,,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Frederick,25.4,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Garrett,,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Harford,25.9,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Howard,12.6,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Kent,,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Montgomery,9.3,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Prince George's,9.3,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Queen Anne's,,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Saint Mary's,,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Somerset,,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Talbot,,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Washington,37.2,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Wicomico,24.6,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
Worcester,,All races/ethnicities (aggregated),2014-2016,Drug-induced death rate
State,22.8,Black Non-Hispanic,2014-2016,Drug-induced death rate
Allegany,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Anne Arundel,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Baltimore City,59.6,Black Non-Hispanic,2014-2016,Drug-induced death rate
Baltimore County,22.6,Black Non-Hispanic,2014-2016,Drug-induced death rate
Calvert,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Caroline,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Carroll,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Cecil,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Charles,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Dorchester,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Frederick,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Garrett,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Harford,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Howard,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Kent,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Montgomery,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Prince George's,9.0,Black Non-Hispanic,2014-2016,Drug-induced death rate
Queen Anne's,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Saint Mary's,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Somerset,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Talbot,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Washington,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Wicomico,,Black Non-Hispanic,2014-2016,Drug-induced death rate
Worcester,,Black Non-Hispanic,2014-2016,Drug-induced death rate
State,5.1,Hispanic,2014-2016,Drug-induced death rate
Allegany,,Hispanic,2014-2016,Drug-induced death rate
Anne Arundel,,Hispanic,2014-2016,Drug-induced death rate
Baltimore City,,Hispanic,2014-2016,Drug-induced death rate
Baltimore County,,Hispanic,2014-2016,Drug-induced death rate
Calvert,,Hispanic,2014-2016,Drug-induced death rate
Caroline,,Hispanic,2014-2016,Drug-induced death rate
Carroll,,Hispanic,2014-2016,Drug-induced death rate
Cecil,,Hispanic,2014-2016,Drug-induced death rate
Charles,,Hispanic,2014-2016,Drug-induced death rate
Dorchester,,Hispanic,2014-2016,Drug-induced death rate
Frederick,,Hispanic,2014-2016,Drug-induced death rate
Garrett,,Hispanic,2014-2016,Drug-induced death rate
Harford,,Hispanic,2014-2016,Drug-induced death rate
Howard,,Hispanic,2014-2016,Drug-induced death rate
Kent,,Hispanic,2014-2016,Drug-induced death rate
Montgomery,,Hispanic,2014-2016,Drug-induced death rate
Prince George's,,Hispanic,2014-2016,Drug-induced death rate
Queen Anne's,,Hispanic,2014-2016,Drug-induced death rate
Saint Mary's,,Hispanic,2014-2016,Drug-induced death rate
Somerset,,Hispanic,2014-2016,Drug-induced death rate
Talbot,,Hispanic,2014-2016,Drug-induced death rate
Washington,,Hispanic,2014-2016,Drug-induced death rate
Wicomico,,Hispanic,2014-2016,Drug-induced death rate
Worcester,,Hispanic,2014-2016,Drug-induced death rate
State,32.2,White Non-Hispanic,2014-2016,Drug-induced death rate
Allegany,41.8,White Non-Hispanic,2014-2016,Drug-induced death rate
Anne Arundel,33.8,White Non-Hispanic,2014-2016,Drug-induced death rate
Baltimore City,60.6,White Non-Hispanic,2014-2016,Drug-induced death rate
Baltimore County,46.2,White Non-Hispanic,2014-2016,Drug-induced death rate
Calvert,33.8,White Non-Hispanic,2014-2016,Drug-induced death rate
Caroline,,White Non-Hispanic,2014-2016,Drug-induced death rate
Carroll,31.4,White Non-Hispanic,2014-2016,Drug-induced death rate
Cecil,41.5,White Non-Hispanic,2014-2016,Drug-induced death rate
Charles,39.0,White Non-Hispanic,2014-2016,Drug-induced death rate
Dorchester,,White Non-Hispanic,2014-2016,Drug-induced death rate
Frederick,30.0,White Non-Hispanic,2014-2016,Drug-induced death rate
Garrett,,White Non-Hispanic,2014-2016,Drug-induced death rate
Harford,29.3,White Non-Hispanic,2014-2016,Drug-induced death rate
Howard,20.0,White Non-Hispanic,2014-2016,Drug-induced death rate
Kent,,White Non-Hispanic,2014-2016,Drug-induced death rate
Montgomery,15.1,White Non-Hispanic,2014-2016,Drug-induced death rate
Prince George's,23.8,White Non-Hispanic,2014-2016,Drug-induced death rate
Queen Anne's,,White Non-Hispanic,2014-2016,Drug-induced death rate
Saint Mary's,,White Non-Hispanic,2014-2016,Drug-induced death rate
Somerset,,White Non-Hispanic,2014-2016,Drug-induced death rate
Talbot,,White Non-Hispanic,2014-2016,Drug-induced death rate
Washington,41.2,White Non-Hispanic,2014-2016,Drug-induced death rate
Wicomico,,White Non-Hispanic,2014-2016,Drug-induced death rate
Worcester,,White Non-Hispanic,2014-2016,Drug-induced death rate
State,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Allegany,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Anne Arundel,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Baltimore City,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Baltimore County,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Calvert,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Caroline,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Carroll,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Cecil,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Charles,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Dorchester,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Frederick,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Garrett,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Harford,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Howard,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Kent,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Montgomery,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Prince George's,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Queen Anne's,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Saint Mary's,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Somerset,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Talbot,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Washington,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Wicomico,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
Worcester,,Asian/ Pacific Islander Non-Hispanic,2014-2016,Drug-induced death rate
State,17.7,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Allegany,21.0,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Anne Arundel,20.3,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Baltimore City,40.5,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Baltimore County,24.3,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Calvert,25.0,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Caroline,29.3,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Carroll,23.9,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Cecil,30.5,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Charles,13.3,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Dorchester,11.6,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Frederick,16.5,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Garrett,14.3,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Harford,20.2,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Howard,10.3,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Kent,26.0,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Montgomery,7.3,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Prince George's,6.4,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Queen Anne's,24.1,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Saint Mary's,14.9,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Somerset,23.9,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Talbot,14.9,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Washington,31.3,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Wicomico,14.2,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
Worcester,23.4,All races/ethnicities (aggregated),2013-2015,Drug-induced death rate
State,15.5,Black Non-Hispanic,2013-2015,Drug-induced death rate
Allegany,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Anne Arundel,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Baltimore City,42.2,Black Non-Hispanic,2013-2015,Drug-induced death rate
Baltimore County,13.9,Black Non-Hispanic,2013-2015,Drug-induced death rate
Calvert,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Caroline,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Carroll,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Cecil,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Charles,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Dorchester,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Frederick,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Garrett,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Harford,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Howard,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Kent,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Montgomery,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Prince George's,6.0,Black Non-Hispanic,2013-2015,Drug-induced death rate
Queen Anne's,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Saint Mary's,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Somerset,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Talbot,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Washington,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Wicomico,,Black Non-Hispanic,2013-2015,Drug-induced death rate
Worcester,,Black Non-Hispanic,2013-2015,Drug-induced death rate
State,3.0,Hispanic,2013-2015,Drug-induced death rate
Allegany,,Hispanic,2013-2015,Drug-induced death rate
Anne Arundel,,Hispanic,2013-2015,Drug-induced death rate
Baltimore City,,Hispanic,2013-2015,Drug-induced death rate
Baltimore County,,Hispanic,2013-2015,Drug-induced death rate
Calvert,,Hispanic,2013-2015,Drug-induced death rate
Caroline,,Hispanic,2013-2015,Drug-induced death rate
Carroll,,Hispanic,2013-2015,Drug-induced death rate
Cecil,,Hispanic,2013-2015,Drug-induced death rate
Charles,,Hispanic,2013-2015,Drug-induced death rate
Dorchester,,Hispanic,2013-2015,Drug-induced death rate
Frederick,,Hispanic,2013-2015,Drug-induced death rate
Garrett,,Hispanic,2013-2015,Drug-induced death rate
Harford,,Hispanic,2013-2015,Drug-induced death rate
Howard,,Hispanic,2013-2015,Drug-induced death rate
Kent,,Hispanic,2013-2015,Drug-induced death rate
Montgomery,,Hispanic,2013-2015,Drug-induced death rate
Prince George's,,Hispanic,2013-2015,Drug-induced death rate
Queen Anne's,,Hispanic,2013-2015,Drug-induced death rate
Saint Mary's,,Hispanic,2013-2015,Drug-induced death rate
Somerset,,Hispanic,2013-2015,Drug-induced death rate
Talbot,,Hispanic,2013-2015,Drug-induced death rate
Washington,,Hispanic,2013-2015,Drug-induced death rate
Wicomico,,Hispanic,2013-2015,Drug-induced death rate
Worcester,,Hispanic,2013-2015,Drug-induced death rate
State,24.2,White Non-Hispanic,2013-2015,Drug-induced death rate
Allegany,,White Non-Hispanic,2013-2015,Drug-induced death rate
Anne Arundel,25.8,White Non-Hispanic,2013-2015,Drug-induced death rate
Baltimore City,43.1,White Non-Hispanic,2013-2015,Drug-induced death rate
Baltimore County,34.2,White Non-Hispanic,2013-2015,Drug-induced death rate
Calvert,,White Non-Hispanic,2013-2015,Drug-induced death rate
Caroline,24.9,White Non-Hispanic,2013-2015,Drug-induced death rate
Carroll,,White Non-Hispanic,2013-2015,Drug-induced death rate
Cecil,32.9,White Non-Hispanic,2013-2015,Drug-induced death rate
Charles,,White Non-Hispanic,2013-2015,Drug-induced death rate
Dorchester,,White Non-Hispanic,2013-2015,Drug-induced death rate
Frederick,19.6,White Non-Hispanic,2013-2015,Drug-induced death rate
Garrett,,White Non-Hispanic,2013-2015,Drug-induced death rate
Harford,23.6,White Non-Hispanic,2013-2015,Drug-induced death rate
Howard,16.1,White Non-Hispanic,2013-2015,Drug-induced death rate
Kent,,White Non-Hispanic,2013-2015,Drug-induced death rate
Montgomery,12.0,White Non-Hispanic,2013-2015,Drug-induced death rate
Prince George's,16.2,White Non-Hispanic,2013-2015,Drug-induced death rate
Queen Anne's,,White Non-Hispanic,2013-2015,Drug-induced death rate
Saint Mary's,,White Non-Hispanic,2013-2015,Drug-induced death rate
Somerset,,White Non-Hispanic,2013-2015,Drug-induced death rate
Talbot,,White Non-Hispanic,2013-2015,Drug-induced death rate
Washington,36.6,White Non-Hispanic,2013-2015,Drug-induced death rate
Wicomico,,White Non-Hispanic,2013-2015,Drug-induced death rate
Worcester,,White Non-Hispanic,2013-2015,Drug-induced death rate
State,2.3,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Allegany,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Anne Arundel,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Baltimore City,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Baltimore County,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Calvert,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Caroline,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Carroll,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Cecil,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Charles,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Dorchester,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Frederick,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Garrett,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Harford,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Howard,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Kent,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Montgomery,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Prince George's,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Queen Anne's,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Saint Mary's,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Somerset,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Talbot,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Washington,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Wicomico,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
Worcester,,Asian/ Pacific Islander Non-Hispanic,2013-2015,Drug-induced death rate
State,15.2,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Allegany,18.7,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Anne Arundel,17.3,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Baltimore City,34.0,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Baltimore County,20.5,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Calvert,22.1,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Caroline,27.8,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Carroll,20.8,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Cecil,27.9,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Charles,11.0,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Dorchester,,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Frederick,15.5,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Garrett,,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
Harford,19.2,All races/ethnicities (aggregated),2012-2014,Drug-induced death rate
